test
temperature = 0.784018, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:50:55.
temperature = 0.784042, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:50:56.
temperature = 0.783971, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:50:56.
temperature = 0.784081, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:50:57.
temperature = 0.783975, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:50:58.
temperature = 0.783953, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:50:58.
temperature = 0.784112, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:50:59.
temperature = 0.784097, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:51:00.
temperature = 0.784109, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:51:00.
temperature = 0.783950, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:51:01.
temperature = 0.784073, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:51:02.
temperature = 0.783967, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:51:02.
temperature = 0.784099, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:51:03.
temperature = 0.784078, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:51:04.
temperature = 0.784088, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:51:04.
temperature = 0.784085, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:51:05.
temperature = 0.783944, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:51:05.
temperature = 0.784054, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:51:06.
temperature = 0.784112, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:51:07.
temperature = 0.784036, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:51:07.
temperature = 0.784034, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:51:08.
temperature = 0.783984, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:51:09.
temperature = 0.784127, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:51:09.
temperature = 0.784049, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:51:10.
temperature = 0.784126, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:51:10.
temperature = 0.783941, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:51:11.
temperature = 0.783970, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:51:12.
temperature = 0.784036, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:51:12.
temperature = 0.784061, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:51:13.
temperature = 0.784001, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:51:14.
temperature = 0.784062, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:51:14.
temperature = 0.784004, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:51:15.
temperature = 0.784103, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:51:16.
temperature = 0.784041, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:51:16.
temperature = 0.784067, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:51:17.
temperature = 0.783984, chi = 10.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:51:18.
temperature = 0.840650, chi = 15.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:53:41.
temperature = 0.840559, chi = 15.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:53:51.
temperature = 0.840728, chi = 15.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:54:01.
temperature = 0.840701, chi = 15.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:54:11.
temperature = 0.840711, chi = 15.000000, tolerance = 1e-06, max iterations = 10000000.000000 at 23-Jul-2017 12:54:21.
temperature = 0.840650, chi = 15.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:54:49.
temperature = 0.784033, chi = 19.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:56:56.
temperature = 0.783963, chi = 19.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:56:58.
temperature = 0.783982, chi = 19.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:56:59.
temperature = 0.783948, chi = 19.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:57:01.
temperature = 0.784103, chi = 19.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:57:02.
temperature = 0.783964, chi = 19.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:57:03.
temperature = 0.784056, chi = 19.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:57:05.
temperature = 0.784038, chi = 19.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:57:06.
temperature = 0.783971, chi = 19.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:57:08.
temperature = 0.784084, chi = 19.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:57:09.
temperature = 0.784056, chi = 19.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:57:11.
temperature = 0.783963, chi = 19.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:57:12.
temperature = 0.784023, chi = 19.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:57:13.
temperature = 0.784069, chi = 19.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:57:15.
temperature = 0.784033, chi = 18.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:57:21.
temperature = 0.784057, chi = 18.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:57:22.
temperature = 0.784121, chi = 18.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:57:23.
temperature = 0.835967, chi = 25.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:57:35.
temperature = 0.836006, chi = 25.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:57:39.
temperature = 0.836063, chi = 25.000000, tolerance = 1e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:57:44.
temperature = 0.835967, chi = 25.000000, tolerance = 5e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:58:08.
temperature = 0.835997, chi = 25.000000, tolerance = 5e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:58:13.
temperature = 0.836064, chi = 25.000000, tolerance = 5e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:58:17.
temperature = 0.835900, chi = 25.000000, tolerance = 5e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:58:22.
temperature = 0.835969, chi = 25.000000, tolerance = 5e-07, max iterations = 10000000.000000 at 23-Jul-2017 12:58:27.
