53.6 0.278
88.4 0.315
129 0.338
165 0.355
218 0.373
293 0.395
345 0.405
432 0.423
479 0.429
562 0.439
664 0.454
746 0.462
909 0.478
975 0.482
1.08e+03 0.488
1.25e+03 0.502
1.34e+03 0.506
1.43e+03 0.511
1.58e+03 0.52
1.8e+03 0.53
1.89e+03 0.534
2.01e+03 0.538
2.17e+03 0.544
2.45e+03 0.555
2.58e+03 0.557
2.69e+03 0.561
2.87e+03 0.566
3.08e+03 0.571
3.36e+03 0.58
3.47e+03 0.582
3.61e+03 0.585
3.77e+03 0.588
3.99e+03 0.593
4.24e+03 0.597
4.47e+03 0.601
4.78e+03 0.608
4.93e+03 0.61
5.14e+03 0.614
5.36e+03 0.617
5.65e+03 0.621
6.02e+03 0.627
6.33e+03 0.632
6.5e+03 0.634
6.68e+03 0.636
6.88e+03 0.638
7.15e+03 0.641
7.45e+03 0.644
7.83e+03 0.649
8.13e+03 0.652
8.52e+03 0.656
8.69e+03 0.658
8.94e+03 0.66
9.17e+03 0.662
